;Go_score;Player_Load;cardioWorkload;date;exercises;giorni_dopo_game;giorni_prima_game;intensity;kinematicWorkload;mechanicalWorkload;metabolicWorkload;perceivedWorkload;playerName;rpe;workload;giorno;mese;Go_score+1
61;;193.5171;0.0;2017-08-12;['Session'];-2.0;-2.0;26.316426250687933;0.0;7.686214857481824;1.3919190264509744;10.004967722880867;Player1;1.0;0.36641815428489455;12;8;
65;4.4;380.5829;0.0;2017-08-16;['Session', 'Warm-up', 'Defensive-line 5v7', 'Session'];-4.0;-4.0;90.21931650539972;44.85689493783857;85.85721798685876;37.73791363081186;61.03363567347211;Player1;6.0;3.026166884304447;16;8;
66;;366.9709;0.0;2017-08-17;['11v1-and strength', 'Session', 'Warm-up', 'Game-11vs11'];-2.0;-2.0;53.26311391464465;39.874326775345814;96.2154444145625;45.20123821066402;58.77234356443135;Player1;5.0;3.1961611723589183;17;8;4.4
67;4.4;326.5582;0.0;2017-08-18;['Tactic-warm up', 'Core-and set piece', 'Session', 'Game-11v11'];-2.0;-2.0;0.0;0.0;0.0;0.0;0.0;Player1;5.0;0.0;18;8;4.4
68;4.4;169.6199;0.0;2017-08-19;['11v10', 'Warm-up', 'Session'];-2.0;-2.0;0.0;0.0;0.0;0.0;0.0;Player1;3.0;0.0;19;8;4.4
69;4.4;108.9533;0.0;2017-08-20;['Session'];-2.0;-2.0;0.0;0.0;0.0;0.0;0.0;Player1;3.0;0.0;20;8;4.4
71;4.1;246.1801;0.0;2017-08-22;['Defensive-line', 'Session', 'Warm-up'];-2.0;-2.0;0.0;0.0;0.0;0.0;0.0;Player1;4.0;0.0;22;8;4.4
72;4.4;347.5954;0.0;2017-08-23;['5v2', 'Game-11v11', 'Session', '11v1-and set piece'];-2.0;-2.0;0.0;0.0;0.0;0.0;0.0;Player1;4.0;0.0;23;8;
73;;273.9093;0.0;2017-08-24;['Session', 'Set-pieces', '11v10', 'Warm-up'];-2.0;-2.0;0.0;0.0;0.0;0.0;0.0;Player1;4.0;0.0;24;8;
87;;252.21200000000002;0.0;2017-09-07;['Set-pieces and gen', 'Session', 'Rotational-power a'];-2.0;-2.0;0.0;0.0;0.0;0.0;0.0;Player1;2.0;0.0;7;9;
