,splitName,playerName,workload,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,cardioWorkload
856,Session,Player2,3.2,59.0,84.3,58.7,51.6,0
857,Possession-game 6v,Player2,0.2,0.0,4.3,5.2,0.0,0
858,First-intermittent,Player2,0.5,0.0,14.9,2.5,0.0,0
859,Second-intermitten,Player2,0.7,0.0,14.9,0.0,0.0,0
860,Second-game 9vs9,Player2,0.6,0.0,15.2,12.2,9.4,0
861,Warm-up,Player2,0.0,0.0,0.0,0.9,0.0,0
862,First-game 9vs9,Player2,0.7,0.0,17.4,14.8,9.8,0
863,Third-intermittent,Player2,0.6,0.0,12.0,10.1,0.0,0
864,Second-game 9vs9,Player3,0.5,0.0,9.5,12.9,6.7,0
865,Second-intermitten,Player3,0.6,0.0,15.3,7.8,0.0,0
866,Possession-game 6v,Player3,0.5,0.0,6.0,14.8,4.2,0
867,First-intermittent,Player3,0.7,0.0,18.0,10.0,0.0,0
868,Warm-up,Player3,,0.0,0.0,0.0,0.0,0
869,Session,Player3,3.5,76.7,75.1,63.9,64.7,0
870,Third-intermittent,Player3,0.7,0.0,13.4,0.0,0.0,0
871,First-game 9vs9,Player3,0.5,0.0,8.1,13.0,8.0,0
872,Second-intermitten,Player5,0.6,0.0,16.5,5.2,0.0,0
873,Second-game 9vs9,Player5,0.3,0.0,7.6,6.0,0.0,0
874,First-game 9vs9,Player5,0.4,0.0,7.5,8.2,6.4,0
875,Warm-up,Player5,,0.0,0.0,0.0,0.0,0
876,First-intermittent,Player5,0.7,0.0,19.8,6.6,0.0,0
877,Session,Player5,2.5,56.3,59.7,27.6,50.8,0
878,Possession-game 6v,Player5,0.3,0.0,6.6,7.4,5.3,0
879,Session,Player6,2.5,47.2,61.8,34.0,50.8,0
880,Warm-up,Player6,,0.0,0.0,0.0,0.0,0
881,Second-game 9vs9,Player6,0.4,0.0,6.8,8.2,0.0,0
882,Third-intermittent,Player6,0.5,0.0,11.2,8.8,0.0,0
883,First-intermittent,Player6,0.7,0.0,15.7,3.7,18.8,0
884,First-game 9vs9,Player6,0.4,0.0,8.3,8.1,6.8,0
885,Possession-game 6v,Player6,0.2,0.0,3.1,4.6,0.0,0
886,Second-intermitten,Player6,0.5,0.0,14.2,2.8,0.0,0
887,First-game 9vs9,Player7,0.4,0.0,4.9,9.5,0.0,0
888,Third-intermittent,Player7,0.7,0.0,14.2,14.2,0.0,0
889,Possession-game 6v,Player7,0.5,0.0,6.2,12.7,0.0,0
890,Session,Player7,3.0,47.2,74.7,45.0,70.1,0
891,Second-intermitten,Player7,1.0,0.0,20.1,0.0,0.0,0
892,Warm-up,Player7,,0.0,0.0,0.0,0.0,0
893,Second-game 9vs9,Player7,0.4,0.0,8.0,8.9,7.1,0
894,First-intermittent,Player7,0.9,0.0,18.8,9.3,24.4,0
895,Session,Player14,3.2,59.0,79.8,50.2,67.2,0
896,Possession-game 6v,Player14,0.3,0.0,5.8,6.6,0.0,0
897,First-game 9vs9,Player14,0.5,0.0,10.5,10.7,8.5,0
898,Warm-up,Player14,,0.0,0.0,0.0,0.0,0
